player,stock,percent,position x,position y,character,action,action frame,facing,shield_strength,jumps_left,on_ground,invulnerable,speed air x self,speed ground x self,speed x attack,speed y attack,speed y self
2,4,12,19.364151,1e-04,Character.FALCO,Action.FSMASH_MID,38,True,60.0,2,True,False,0.0,0.0,0.0,0.0,0.0
1,4,24,29.596525,1e-04,Character.FOX,Action.NEUTRAL_B_ATTACKING,11,False,60.0,2,True,False,0.0,0.0,0.0,0.0,0.0
2,4,12,19.364151,1e-04,Character.FALCO,Action.FSMASH_MID,39,True,60.0,2,True,False,0.0,0.0,0.0,0.0,0.0
1,4,24,29.596525,1e-04,Character.FOX,Action.NEUTRAL_B_ATTACKING,12,False,60.0,2,True,False,0.0,0.0,0.0,0.0,0.0
2,4,12,19.364151,1e-04,Character.FALCO,Action.STANDING,1,True,60.0,2,True,False,0.0,0.0,0.0,0.0,0.0
1,4,24,29.596525,1e-04,Character.FOX,Action.NEUTRAL_B_ATTACKING,13,False,60.0,2,True,False,0.0,0.0,0.0,0.0,0.0
2,4,12,19.364151,1e-04,Character.FALCO,Action.SHIELD_REFLECT,-1,True,60.0,2,True,False,0.0,0.0,0.0,0.0,0.0
1,4,24,29.596525,1e-04,Character.FOX,Action.NEUTRAL_B_ATTACKING,14,False,60.0,2,True,False,0.0,0.0,0.0,0.0,0.0
2,4,12,19.364151,1e-04,Character.FALCO,Action.ROLL_FORWARD,1,True,59.79,2,True,False,0.0,0.0,0.0,0.0,0.0
1,4,24,29.596525,1e-04,Character.FOX,Action.NEUTRAL_B_ATTACKING,15,False,60.0,2,True,False,0.0,0.0,0.0,0.0,0.0
2,4,12,19.364151,1e-04,Character.FALCO,Action.ROLL_FORWARD,2,True,59.86,2,True,False,0.0,0.0,0.0,0.0,0.0
1,4,24,29.596525,1e-04,Character.FOX,Action.NEUTRAL_B_ATTACKING,16,False,60.0,2,True,False,0.0,0.0,0.0,0.0,0.0
2,4,12,19.364151,1e-04,Character.FALCO,Action.ROLL_FORWARD,3,True,59.93,2,True,False,0.0,0.0,0.0,0.0,0.0
1,4,24,29.596525,1e-04,Character.FOX,Action.NEUTRAL_B_ATTACKING,17,False,60.0,2,True,False,0.0,0.0,0.0,0.0,0.0
2,4,12,19.364151,1e-04,Character.FALCO,Action.ROLL_FORWARD,4,True,60.0,2,True,True,0.0,0.0,0.0,0.0,0.0
1,4,24,29.596525,1e-04,Character.FOX,Action.NEUTRAL_B_ATTACKING,18,False,60.0,2,True,False,0.0,0.0,0.0,0.0,0.0
2,4,12,19.364151,1e-04,Character.FALCO,Action.ROLL_FORWARD,5,True,60.0,2,True,True,0.0,0.0,0.0,0.0,0.0
1,4,24,29.596525,1e-04,Character.FOX,Action.NEUTRAL_B_ATTACKING,19,False,60.0,2,True,False,0.0,0.0,0.0,0.0,0.0
2,4,12,19.364151,1e-04,Character.FALCO,Action.ROLL_FORWARD,6,True,60.0,2,True,True,0.0,0.0,0.0,0.0,0.0
1,4,24,29.596525,1e-04,Character.FOX,Action.NEUTRAL_B_ATTACKING,20,False,60.0,2,True,False,0.0,0.0,0.0,0.0,0.0
2,4,12,22.114151,1e-04,Character.FALCO,Action.ROLL_FORWARD,7,True,60.0,2,True,True,2.75,2.75,0.0,0.0,0.0
1,4,24,29.596525,1e-04,Character.FOX,Action.NEUTRAL_B_ATTACKING,21,False,60.0,2,True,False,0.0,0.0,0.0,0.0,0.0
2,4,12,27.064152,1e-04,Character.FALCO,Action.ROLL_FORWARD,8,True,60.0,2,True,True,4.9500003,4.9500003,0.0,0.0,0.0
1,4,24,29.896524,1e-04,Character.FOX,Action.NEUTRAL_B_ATTACKING,22,False,60.0,2,True,False,0.0,0.0,0.0,0.0,0.0
2,4,12,32.56415,1e-04,Character.FALCO,Action.ROLL_FORWARD,9,True,60.0,2,True,True,5.5000005,5.5000005,0.0,0.0,0.0
1,4,24,29.596525,1e-04,Character.FOX,Action.NEUTRAL_B_ATTACKING,23,False,60.0,2,True,False,0.0,0.0,0.0,0.0,0.0
2,4,12,33.744247,1e-04,Character.FALCO,Action.ROLL_FORWARD,10,True,60.0,2,True,True,1.1800957,1.1800957,0.0,0.0,0.0
